Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"tests.test_coverage_gaps#test_main_entrypoint","__main__ entrypoint invokes cli.main when executed as script","passed","1ms",,,,"Test infrastructure","Coverage gaps",,"Test infrastructure","Coverage gaps",
"tests.test_init#test_main_module","__main__ module delegates to cli.main","passed","1ms",,,"Monkeypatch cli.main and rebind __main__ passed (0s)
 Invoke __main__ entry passed (0s)
   calls: [1] passed (0s)
  Verify cli.main was called passed (0s)","Package","Package metadata",,"Package","Package metadata","Main"
"tests.test_hub_gaps#test_aggregate_filters","_aggregate honours since and root filters","passed","0s",,,,"Hub","Hub gaps",,"Hub","Local ops dashboard",
"tests.test_router_gaps#test_thin_context_penalty_noop","_apply_thin_context_penalty is a no-op for non-cheap tiers or no edit verbs","passed","0s",,,,"Router","Router gaps",,"Router","Route status",
"tests.test_router_gaps#test_thin_context_penalty_dedup","_apply_thin_context_penalty skips duplicate note/rationale text","passed","1ms",,,,"Router","Router gaps",,"Router","Route status",
"tests.test_router_gaps#test_apply_thin_context_penalty_note_strip","_apply_thin_context_penalty: only leading '; ' is stripped from the note","passed","0s",,,,"Router","Router gaps",,"Router","Route status",
"tests.test_router_gaps#test_apply_thin_context_penalty_rag_fields","_apply_thin_context_penalty: rag tier penalty and full field copy","passed","0s",,,"rag tier IS penalised: confidence = max(0.15, 0.9 - 0.35) = 0.55 passed (0s)
 note becomes exactly the thin-context note (leading '; ' stripped) passed (0s)
  thin-context note appended to rationale passed (0s)
   all identity fields preserved passed (0s)","Router","Router gaps",,"Router","Route status",
"tests.test_router_gaps#test_best_in_tier_edges","_best_in_tier: None default, empty-pattern selection, missing-patterns skip","passed","2ms",,,"no routes → None (not '') passed (0s)
 empty-pattern route scores exactly 1.0 and is still selected passed (0s)
  inactive first route uses continue, not break passed (1ms)
   route missing 'patterns' key defaults to [] and is skipped passed (0s)","Router","Router gaps",,"Router","Route status",
"tests.test_router_gaps#test_best_shadow_match_edges","_best_shadow_match: None default and first-wins on tie (strict >)","passed","1ms",,,"no shadow routes → (None, 0.0) passed (0s)
 equal-score shadow routes → first one wins (strict >, not >=) passed (0s)
  shadow route missing 'patterns' key defaults to [] (no crash, no match) passed (0s)","Router","Router gaps",,"Router","Route status",
"tests.test_budget_gaps#test_billing_tier_from_event","_billing_tier_from_event covers dict, legacy, selected fallbacks","passed","0s",,,,"Budget","Budget gaps",,"Budget","Split budget",
